Date,ENGI FP Equity,CS FP Equity
2021-06-18,11.90,22.05
2021-06-17,12.128,22.885
2021-06-16,12.244,22.74
2021-06-15,12.332,22.745
2021-06-14,12.308,22.475
2021-06-11,12.316,22.405
2021-06-10,12.206,22.305
2021-06-09,12.292,22.46
2021-06-08,12.34,22.895
2021-06-07,12.39,22.985
2021-06-04,12.31,22.835
2021-06-03,12.332,22.805
2021-06-02,12.338,22.85
2021-06-01,12.282,22.79
2021-05-31,12.15,22.58
2021-05-28,12.266,22.805
2021-05-27,12.258,22.445
2021-05-26,12.508,22.22
2021-05-25,12.588,22.29
2021-05-24,12.642,22.52
2021-05-21,13.144,22.545
2021-05-20,13.064,22.375
2021-05-19,13.122,22.295
2021-05-18,13.10,22.645
2021-05-17,12.716,22.815
2021-05-14,12.684,22.875
2021-05-13,12.406,22.56
2021-05-12,12.246,22.695
2021-05-11,12.184,22.57
2021-05-10,12.65,23.045
2021-05-07,12.612,22.73
2021-05-06,12.53,24.16
2021-05-05,12.386,23.775
2021-05-04,12.402,23.695
2021-05-03,12.448,23.91
2021-04-30,12.37,23.525
2021-04-29,12.302,23.445
2021-04-28,12.398,23.43
2021-04-27,12.34,23.10
2021-04-26,12.496,23.25
2021-04-23,12.36,23.18
2021-04-22,12.30,23.16
2021-04-21,12.086,23.17
2021-04-20,12.172,23.17
2021-04-19,12.388,23.75
2021-04-16,12.402,23.705
2021-04-15,12.246,23.41
2021-04-14,12.254,23.61
2021-04-13,12.26,23.705
2021-04-12,12.452,23.68
2021-04-09,12.326,23.50
2021-04-08,12.29,23.44
2021-04-07,12.274,23.44
2021-04-06,12.154,23.205
2021-04-01,12.122,23.005
2021-03-31,12.105,22.885
2021-03-30,12.035,23.15
2021-03-29,12.16,22.655
2021-03-26,12.035,22.53
2021-03-25,11.98,22.50
2021-03-24,11.965,22.515
2021-03-23,12.11,22.435
2021-03-22,12.065,22.475
2021-03-19,12.195,22.84
2021-03-18,12.135,22.76
2021-03-17,12.07,22.445
2021-03-16,12.11,22.61
2021-03-15,12.16,22.755
2021-03-12,12.185,22.935
2021-03-11,12.16,22.705
2021-03-10,11.97,22.755
2021-03-09,11.88,22.745
2021-03-08,11.50,22.565
2021-03-05,11.435,22.00
2021-03-04,11.505,22.00
2021-03-03,11.535,22.095
2021-03-02,11.82,21.59
2021-03-01,12.01,21.305
2021-02-26,12.085,20.80
2021-02-25,12.605,21.15
2021-02-24,12.645,20.305
2021-02-23,12.67,20.085
2021-02-22,12.735,19.93
2021-02-19,12.895,19.856
2021-02-18,12.795,19.44
2021-02-17,12.985,19.704
2021-02-16,12.94,19.534
2021-02-15,13.105,19.57
2021-02-12,13.055,19.116
2021-02-11,13.105,19.272
2021-02-10,13.12,19.30
2021-02-09,13.10,19.294
2021-02-08,13.245,19.25
2021-02-05,13.40,19.204
2021-02-04,13.29,19.154
2021-02-03,13.30,18.988
2021-02-02,13.035,18.816
2021-02-01,12.975,18.454
2021-01-29,12.82,18.30
2021-01-28,12.96,18.796
2021-01-27,12.73,18.674
2021-01-26,12.99,18.856
2021-01-25,12.93,18.77
2021-01-22,13.115,19.212
2021-01-21,13.315,19.518
2021-01-20,13.445,19.716
2021-01-19,13.58,19.65
2021-01-18,13.485,19.734
2021-01-15,13.615,19.916
2021-01-14,13.845,20.045
2021-01-13,13.685,20.065
2021-01-12,13.505,20.19
2021-01-11,13.165,20.25
2021-01-08,13.305,20.365
2021-01-07,13.07,20.385
2021-01-06,13.125,20.26
2021-01-05,12.615,19.43
2021-01-04,12.805,19.438
2020-12-31,12.52,19.512
2020-12-30,12.695,19.676
2020-12-29,12.755,19.736
2020-12-28,12.90,19.728
2020-12-24,12.60,19.652
2020-12-23,12.69,19.598
2020-12-22,12.325,19.284
2020-12-21,12.16,19.146
2020-12-18,12.625,19.884
2020-12-17,12.67,20.145
2020-12-16,12.60,20.235
2020-12-15,12.43,19.93
2020-12-14,12.525,19.678
2020-12-11,12.34,19.658
2020-12-10,12.395,20.005
2020-12-09,12.575,19.904
2020-12-08,12.375,19.654
2020-12-07,12.54,19.758
2020-12-04,12.50,20.00
2020-12-03,12.585,19.856
2020-12-02,12.80,19.968
2020-12-01,12.51,19.816
2020-11-30,12.37,19.712
2020-11-27,12.52,19.732
2020-11-26,12.525,19.788
2020-11-25,12.635,19.87
2020-11-24,12.425,19.69
2020-11-23,12.23,18.966
2020-11-20,12.165,18.80
2020-11-19,12.055,18.932
2020-11-18,12.21,19.04
2020-11-17,12.24,19.052
2020-11-16,12.39,18.744
2020-11-13,12.30,18.35
2020-11-12,11.92,17.976
2020-11-11,12.265,18.21
2020-11-10,11.975,18.068
2020-11-09,11.76,17.362
2020-11-06,11.035,15.732
2020-11-05,11.245,15.744
2020-11-04,11.07,15.494
2020-11-03,10.82,14.914
2020-11-02,10.605,14.356
2020-10-30,10.385,13.80
2020-10-29,10.27,13.648
2020-10-28,10.455,13.772
2020-10-27,10.895,14.198
2020-10-26,11.11,14.646
2020-10-23,11.365,14.972
2020-10-22,11.21,14.676
2020-10-21,11.385,14.94
2020-10-20,11.685,15.082
2020-10-19,11.705,15.142
2020-10-16,11.74,15.15
2020-10-15,11.625,15.188
2020-10-14,11.96,15.906
2020-10-13,12.05,15.956
2020-10-12,12.16,16.302
2020-10-09,12.14,16.196
2020-10-08,12.13,16.208
2020-10-07,12.065,16.008
2020-10-06,11.835,16.236
2020-10-05,11.51,15.924
2020-10-02,11.46,15.662
2020-10-01,11.425,15.706
2020-09-30,11.42,15.776
2020-09-29,11.28,15.752
2020-09-28,11.41,16.098
2020-09-25,11.12,15.57
2020-09-24,11.135,15.784
2020-09-23,11.355,15.774
2020-09-22,11.16,15.64
2020-09-21,11.235,16.00
2020-09-18,11.595,16.656
2020-09-17,11.815,16.85
2020-09-16,11.955,17.12
2020-09-15,11.905,17.216
2020-09-14,11.945,17.272
2020-09-11,11.775,17.26
2020-09-10,11.825,17.37
2020-09-09,11.925,17.438
2020-09-08,11.77,16.952
2020-09-07,12.015,17.308
2020-09-04,11.64,17.18
2020-09-03,11.865,17.302
2020-09-02,11.75,17.278
2020-09-01,11.59,17.092
2020-08-31,11.655,17.076
2020-08-28,11.135,17.482
2020-08-27,11.17,17.388
2020-08-26,11.355,17.61
2020-08-25,11.44,17.596
2020-08-24,11.59,17.564
2020-08-21,11.185,17.206
2020-08-20,11.235,17.418
2020-08-19,11.45,17.608
2020-08-18,11.40,17.38
2020-08-17,11.645,17.348
2020-08-14,11.75,17.552
2020-08-13,12.01,17.67
2020-08-12,12.175,17.946
2020-08-11,11.975,17.83
2020-08-10,11.785,17.344
2020-08-07,11.625,17.03
2020-08-06,11.60,17.03
2020-08-05,11.785,17.646
2020-08-04,11.755,17.506
2020-08-03,11.90,17.31
2020-07-31,11.29,16.864
2020-07-30,10.855,17.214
2020-07-29,11.22,17.866
2020-07-28,11.16,17.87
2020-07-27,10.83,17.768
2020-07-24,10.92,17.908
